	1N	1T	2T	3N	3T	4N	5N	5T
Grid1	0	0	0	0	0	0	0	0
Grid2	0	0	0	0	0	0	0	0
Grid2ip	0	0	0	0	0	0	0	0
Grifin	0	0	0	0	0	0	0	0
Grik1	0	0	0	0	0	0	0	0
Grik2	0	0	0	0	0	0	0	0
Grik3	0	0	0	0	0	0	0	0
Grik4	0	0	0	0	0	0	0	0
Grik5	2	10	0	2	8	0	8	6
Grin1	7	0	0	3	0	0	0	0
Grin1os	0	4	0	2	2	1	0	3
Grin2a	0	0	0	0	0	0	0	0
Grin2b	0	0	0	0	0	0	0	0
Grin2c	0	0	0	0	0	0	0	0
Grin2d	2	4	4	2	2	2	4	10
Grin3a	2	0	0	2	0	2	2	2
Grin3b	0	0	0	0	0	0	0	0
Grina	34	32	50	22	35	25	49	55
Grip1	0	0	0	0	0	2	0	0
Grip1os1	0	0	0	0	0	0	0	0
Grip1os2	0	0	0	0	0	0	0	0
Grip2	0	4	0	0	8	0	0	2
Gripap1	18	12	9	13	11	25	21	22
Grk1	0	0	0	0	0	0	0	0
Grk4	0	0	4	0	0	0	0	0
Grk5	8	10	14	8	18	4	3	4
Grk6	25	50	30	27	44	38	42	45
Grm1	0	0	0	0	0	0	0	0
Grm2	0	0	0	0	0	0	0	0
Grm3	0	0	0	0	0	0	0	0
Grm4	0	0	0	0	0	0	0	0
Grm5	0	0	0	0	0	0	0	0
Grm6	0	0	0	0	0	0	0	0
Grm7	0	0	0	0	0	0	0	0
Grm8	0	0	0	0	0	0	0	0
Grn	65	216	119	49	179	42	89	124
Grp	0	0	0	0	0	0	0	0
Grpel1	34	30	16	34	23	24	20	29
Grpel2	24	83	63	41	54	21	37	44
Grpr	0	0	0	0	0	8	4	0
Grrp1	0	0	2	0	4	0	0	6
Grsf1	26	46	21	20	16	23	26	24
Grtp1	29	12	12	15	4	23	30	4
Grwd1	7	22	6	6	17	2	4	11
Grxcr1	0	0	0	0	0	0	0	0
Grxcr2	0	0	0	0	0	0	0	0
Gsap	2	18	8	1	12	0	6	0
Gsc	0	0	0	0	0	0	0	0
Gsc2	0	0	0	0	0	0	0	0
Gsdma	0	57	7	4	28	4	8	25
Gsdma2	0	0	2	0	0	0	0	2
Gsdma3	0	0	0	0	0	0	0	0
Gsdmc	0	0	0	1	0	1	0	0
Gsdmc2	141	5	92	277	8	256	66	5
Gsdmc3	21	6	9	64	0	53	22	0
Gsdmc4	245	12	58	367	30	391	93	21
Gsdmcl-ps	3	0	3	4	0	5	0	0
Gsdmcl1	0	0	0	0	0	0	0	0
Gsdmcl2	0	0	0	0	0	0	0	0
Gsdmd	90	58	82	99	35	77	88	24
Gse1	71	70	55	70	49	62	56	49
Gsg1	0	0	0	0	0	0	0	0
Gsg1l	0	0	0	0	0	0	0	0
Gsg2	6	6	4	6	4	4	4	10
Gsk3a	27	62	29	9	33	34	17	31
Gsk3b	50	59	61	40	57	45	56	88
Gskip	14	22	4	11	11	4	14	2
Gsn	91	92	93	163	96	142	152	50
Gspt1	47	73	68	60	92	49	38	93
Gspt2	4	2	0	0	4	2	4	2
Gsr	47	59	69	50	70	42	56	40
Gss	66	43	48	44	50	66	54	34
Gsta1	0	0	0	2	0	2	0	0
Gsta2	0	0	0	0	0	0	2	0
Gsta3	5	8	10	1	22	2	12	19
Gsta4	6	6	18	12	8	8	6	8
Gstcd	6	3	14	3	4	0	2	6
Gstk1	10	4	6	13	2	14	16	2
Gstm1	46	19	28	31	28	75	57	24
Gstm2	22	4	2	24	2	26	14	8
Gstm3	8	0	0	7	0	18	4	0
Gstm4	2	4	0	0	2	4	8	6
Gstm5	11	24	14	18	27	1	14	17
Gstm6	0	3	2	4	4	6	2	4
Gstm7	0	6	4	4	14	4	8	32
Gsto1	79	31	98	114	46	125	86	45
Gsto2	0	0	0	0	0	2	0	0
Gstp1	56	13	26	26	24	42	40	32
Gstp2	7	10	8	6	8	16	8	4
Gstt1	8	2	2	0	0	6	4	0
Gstt2	10	4	6	24	12	15	14	18
Gstt3	22	4	4	20	12	36	33	14
Gstt4	0	0	0	0	0	0	0	0
Gstz1	11	10	14	3	24	4	3	16
Gsx1	0	0	0	0	0	0	0	0
Gsx2	0	0	0	0	0	0	0	0
Gt(ROSA)26Sor	4	12	10	10	6	7	8	10
Gtdc1	4	0	2	4	6	4	0	7
Gtf2a1	8	28	22	26	29	8	22	23
Gtf2a1l	0	0	0	0	0	0	0	0
Gtf2a2	5	8	11	13	10	8	5	8
Gtf2b	4	15	8	10	18	4	4	13
Gtf2e1	6	16	10	6	14	6	8	20
Gtf2e2	0	18	21	4	29	6	11	20
Gtf2f1	34	28	32	23	34	26	20	41
Gtf2f2	10	14	10	4	14	8	8	20
Gtf2h1	20	8	16	12	14	12	16	19
Gtf2h2	10	8	8	6	8	12	8	12
Gtf2h3	8	20	6	4	10	10	8	14
Gtf2h4	6	5	10	6	2	10	8	7
Gtf2h5	8	12	14	15	8	4	10	9
Gtf2i	42	163	112	29	167	31	69	138
Gtf2ird1	37	105	63	35	75	46	44	46
Gtf2ird2	1	14	4	4	10	8	1	13
Gtf3a	12	8	12	0	2	2	2	2
Gtf3c1	42	103	84	50	82	68	76	78
Gtf3c2	42	43	58	35	79	34	30	73
Gtf3c3	10	0	12	3	16	10	8	4
Gtf3c4	12	24	29	20	30	20	12	28
Gtf3c5	7	10	7	6	12	8	2	21
Gtf3c6	8	12	10	14	5	8	6	10
Gtpbp1	35	46	20	22	53	16	22	38
Gtpbp10	8	12	6	6	8	4	6	4
Gtpbp2	94	58	92	87	44	73	72	44
Gtpbp3	9	7	16	10	15	4	6	14
Gtpbp4	16	30	29	14	22	14	20	25
Gtpbp6	0	9	7	0	5	2	1	4
Gtpbp8	10	10	9	0	6	2	8	6
Gtse1	10	6	6	2	20	4	2	20
Gtsf1	0	0	0	0	0	0	0	0
Gtsf1l	0	0	0	0	0	0	0	0
Guca1a	0	0	0	0	0	0	0	0
Guca1b	4	0	0	1	0	0	0	0
Guca2a	282	16	20	159	8	288	139	18
Guca2b	4	2	8	2	4	6	4	1
Gucd1	42	14	37	38	25	45	48	17
Gucy1a2	0	10	0	0	6	0	0	0
Gucy1a3	2	2	2	0	2	0	0	0
Gucy1b2	0	0	0	0	0	0	0	0
Gucy1b3	2	4	12	2	8	0	4	6
Gucy2c	98	39	58	112	17	129	63	32
Gucy2d	0	0	0	0	0	0	0	0
Gucy2e	0	0	0	0	0	0	0	0
Gucy2f	0	0	0	0	0	0	0	0
Gucy2g	0	0	0	0	0	0	0	0
Guf1	20	15	6	15	10	10	22	19
Guk1	33	24	26	18	36	34	26	12
Gulo	0	5	8	4	3	0	10	9
Gulp1	0	0	0	0	0	0	0	0
Gusb	17	64	47	27	82	20	34	58
Gvin1	0	0	0	0	0	0	0	0
Gxylt1	22	20	25	20	7	15	28	21
Gxylt2	0	0	0	0	0	0	0	2
Gyg	8	10	10	2	11	10	8	12
Gyk	19	4	10	32	26	29	34	6
Gykl1	0	0	0	0	0	0	0	0
Gyltl1b	9	14	10	4	26	14	6	7
Gypa	0	0	0	0	0	0	0	2
Gypc	2	0	0	2	2	0	0	0
Gys1	6	22	8	4	12	6	17	11
Gys2	0	0	0	0	0	0	0	0
Gzf1	2	18	8	24	14	12	10	10
Gzma	0	0	0	0	0	0	1	0
Gzmb	0	2	5	0	0	0	2	0
Gzmc	0	0	0	2	2	0	2	0
Gzmd	0	0	0	0	0	0	0	0
Gzme	0	0	0	0	0	0	0	0
Gzmf	0	0	0	0	0	0	0	0
Gzmg	0	0	0	0	0	0	0	0
Gzmk	0	0	2	0	0	0	0	0
Gzmm	0	0	0	0	0	0	0	0
Gzmn	0	0	0	0	0	0	0	0
H13	96	113	89	66	85	48	65	71
H19	0	5	14	0	0	0	4	44
H1f0	74	78	87	79	95	128	73	124
H1fnt	0	0	0	0	0	0	0	0
H1foo	0	0	0	0	0	0	0	0
H1fx	2	15	2	4	18	0	2	8
H2-Aa	58	37	163	41	51	58	30	24
H2-Ab1	46	28	168	64	58	50	20	27
H2-Bl	0	0	0	0	0	0	0	0
H2-D1	96	77	120	85	76	104	111	48
H2-DMa	2	6	12	14	6	2	2	5
H2-DMb1	10	6	32	6	8	2	4	2
H2-DMb2	0	1	4	2	0	0	2	0
H2-Ea-ps	0	0	0	0	0	0	0	0
H2-Eb1	40	42	153	48	66	32	16	32
H2-Eb2	0	0	0	4	0	0	4	0
H2-K1	400	302	566	331	308	406	417	197
H2-K2	15	0	6	2	0	15	10	0
H2-Ke6	4	2	8	14	4	16	14	4
H2-L	0	0	0	0	0	0	0	0
H2-M1	0	0	0	0	0	0	0	0
H2-M10.1	0	0	0	0	0	0	0	0
H2-M10.2	0	0	0	0	0	0	0	1
H2-M10.3	0	0	0	0	0	0	0	0
H2-M10.4	0	0	0	0	0	0	0	0
H2-M10.5	0	0	0	0	0	0	0	0
H2-M10.6	0	0	0	0	0	0	0	0
H2-M11	0	0	0	0	0	0	0	0
H2-M2	0	0	0	4	0	3	0	0
H2-M3	5	8	2	4	12	2	4	4
H2-M5	0	0	0	0	0	0	0	0
H2-M9	0	0	0	0	0	0	0	0
H2-Oa	0	0	0	0	0	0	0	0
H2-Ob	0	6	0	2	2	0	0	2
H2-Q1	6	0	0	2	0	9	11	2
H2-Q10	4	0	4	4	2	0	0	12
H2-Q2	15	0	10	22	0	27	13	2
H2-Q4	26	71	54	29	46	45	23	25
H2-Q5	0	3	2	1	4	0	0	0
H2-Q6	0	0	0	0	0	0	0	0
H2-Q7	0	0	0	0	0	0	0	0
H2-Q8	0	0	0	0	0	0	0	0
H2-Q9	0	0	0	0	0	0	0	0
H2-T10	1	1	0	0	0	6	0	3
H2-T22	0	0	0	0	1	0	0	0
H2-T23	74	56	94	83	59	116	97	18
H2-T24	4	7	0	4	4	2	4	2
H2-T3	6	0	0	1	0	10	0	0
H2-T9	0	0	0	0	0	0	0	0
H2afb1	0	0	0	0	0	0	0	0
H2afb2	0	0	0	0	0	0	0	0
H2afb3	0	0	0	0	0	0	0	0
H2afj	29	72	55	54	36	40	66	56
H2afv	10	16	14	18	30	20	22	32
H2afx	21	8	6	12	44	10	22	27
H2afy	51	73	73	56	73	45	50	68
H2afy2	2	0	2	2	15	0	6	26
H2afy3	0	0	0	0	0	0	0	0
H2afz	64	107	66	47	129	37	64	108
H2bfm	0	0	0	0	0	0	0	0
H3f3a	106	245	136	126	213	98	108	246
H3f3b	203	365	222	211	386	227	202	359
H60b	0	0	0	0	0	0	0	0
H60c	0	0	0	0	0	0	0	0
H6pd	18	21	66	23	26	23	34	79
Haao	0	0	0	0	0	0	0	0
Habp2	6	15	26	3	21	2	17	18
Habp4	0	4	12	4	9	2	4	14
Hacd1	8	12	8	6	14	6	0	8
Hacd2	14	58	16	20	36	10	24	16
Hacd3	25	51	47	51	29	44	38	53
Hacd4	0	2	4	0	10	2	0	2
Hace1	2	12	9	4	8	6	6	6
Hacl1	2	2	3	4	4	2	2	0
Hadh	83	36	39	66	27	87	99	28
Hadha	121	73	71	89	60	91	100	55
Hadhb	65	34	32	48	36	44	48	28
Hagh	10	19	6	18	10	20	20	11
Haghl	2	12	2	0	8	0	2	12
Haglr	0	0	0	0	0	0	0	0
Hal	0	0	0	0	0	0	0	0
Halr1	1	5	8	1	0	0	0	6
Hamp	0	0	0	0	0	2	0	0
Hamp2	0	2	0	0	0	2	0	0
Hand1	0	0	0	0	0	0	0	0
Hand2	0	0	0	0	0	0	0	0
Hao1	0	0	0	0	0	0	2	2
Hao2	123	4	2	114	2	144	104	4
Hap1	6	6	10	2	4	0	4	13
Hapln1	0	0	0	0	0	0	0	0
Hapln2	0	0	0	0	0	0	0	0
Hapln3	0	0	0	0	0	0	0	0
Hapln4	0	0	0	0	0	0	4	0
Harbi1	2	8	5	6	6	2	2	6
Hars	17	24	18	15	32	16	14	23
Hars2	15	14	22	10	14	12	10	13
Has1	0	0	0	0	0	0	0	0
Has2	0	2	0	0	2	0	0	0
Has2os	0	0	0	0	0	0	0	0
Has3	2	0	0	0	7	0	0	0
Hat1	2	12	8	4	21	0	7	10
Haus1	0	8	7	4	0	2	8	4
Haus2	2	10	9	12	12	8	9	7
Haus3	4	6	8	0	3	0	0	8
Haus4	8	12	12	6	12	6	2	13
Haus5	4	8	4	2	12	2	4	12
Haus6	10	5	7	6	16	3	2	2
Haus7	7	8	2	10	8	2	4	6
Haus8	2	12	9	0	4	2	5	6
Havcr1	0	0	0	0	0	0	0	0
Havcr2	0	2	6	0	0	0	0	4
Hax1	4	26	10	6	20	6	16	17
Hba-a1	0	0	0	0	0	0	0	0
Hba-a2	0	0	0	0	0	0	0	0
Hba-x	0	0	0	0	0	0	0	0
Hbb-b1	0	0	0	0	0	0	0	0
Hbb-b2	0	0	0	0	0	0	0	0
Hbb-bh1	0	0	0	0	0	0	0	0
Hbb-bh2	0	0	0	0	0	0	0	0
Hbb-bs	0	0	0	0	0	0	0	0
Hbb-bt	0	0	0	0	0	0	0	0
Hbb-y	0	0	0	0	0	0	0	0
Hbegf	10	10	20	4	4	23	4	8
Hbp1	42	31	34	38	50	35	46	44
Hbq1a	0	0	0	0	0	0	0	0
Hbq1b	0	0	0	0	0	0	0	0
Hbs1l	28	17	25	24	37	21	13	28
Hc	2	0	0	0	0	0	0	0
Hcar1	2	0	2	4	0	0	2	0
Hcar2	0	3	0	0	2	0	6	0
Hccs	14	9	19	19	6	14	8	14
Hcfc1	64	143	96	73	110	33	40	107
Hcfc1r1	29	11	26	17	2	29	20	8
Hcfc2	4	10	6	2	6	10	2	11
Hck	7	2	6	5	10	8	4	6
Hcls1	8	9	18	0	12	4	8	12
Hcn1	0	0	0	0	0	0	0	0
Hcn2	0	2	0	0	0	0	8	6
Hcn3	0	0	0	2	0	2	0	0
Hcn4	0	0	0	0	0	0	0	0
Hcrt	0	0	0	0	0	0	0	0
Hcrtr1	0	0	0	0	0	0	0	0
Hcrtr2	0	0	0	0	0	0	0	0
Hcst	0	0	0	0	0	2	0	0
Hdac1	37	85	46	37	60	49	36	56
Hdac10	7	10	4	6	10	8	5	8
Hdac11	16	5	5	10	11	24	10	17
Hdac2	29	80	45	22	64	14	18	74
Hdac3	23	40	37	19	50	23	36	49
Hdac4	2	8	7	4	10	9	8	14
Hdac5	22	30	23	14	37	20	31	26
Hdac6	6	16	8	6	18	12	13	24
Hdac7	9	72	26	12	51	6	11	55
Hdac8	0	6	2	0	2	4	6	3
Hdac9	4	0	4	2	4	0	2	4
Hdc	0	2	6	4	44	0	2	2
Hddc2	2	6	5	6	2	2	2	11
Hddc3	2	2	0	0	0	4	0	10
Hdgf	52	114	88	72	113	61	61	106
Hdgfl1	0	0	0	0	0	0	0	0
Hdgfrp2	13	34	22	16	29	13	16	19
Hdgfrp3	0	2	0	0	0	0	0	2
Hdhd1a	0	0	0	0	0	0	0	0
Hdhd2	9	12	8	18	18	12	4	12
Hdhd3	6	2	4	2	2	6	6	6
Hdlbp	258	223	249	233	289	182	225	259
Hdx	0	0	0	0	0	0	0	0
Heatr1	16	34	29	18	24	10	20	49
Heatr3	10	6	18	11	8	14	14	12
Heatr5a	44	43	55	41	33	47	39	28
Heatr5b	18	12	19	14	26	12	28	14
Heatr6	20	15	9	9	23	20	8	20
Heatr9	0	0	0	0	0	0	0	0
Hebp1	0	2	2	0	0	0	0	0
Hebp2	2	17	8	8	20	8	4	10
Heca	18	15	20	21	18	16	26	34
Hectd1	55	156	142	99	147	99	94	100
Hectd2	0	0	0	0	0	0	0	2
Hectd3	43	34	55	75	31	60	65	28
Hecw1	0	0	0	0	0	0	0	0
Hecw2	0	0	0	2	0	0	0	0
Heg1	6	32	12	10	34	4	2	19
Helb	11	10	10	11	16	10	15	10
Hells	4	20	16	2	21	4	8	29
Helq	4	6	10	6	12	6	2	6
Helt	0	0	0	0	0	0	0	0
Helz	22	11	27	11	10	8	8	17
Helz2	89	62	80	69	52	63	80	48
Hemgn	0	0	0	0	0	0	0	0
Hemk1	8	3	6	2	1	2	2	2
Henmt1	0	2	0	0	0	0	0	0
Hepacam	0	0	0	0	0	0	1	0
Hepacam2	62	7	22	65	4	42	54	6
Heph	91	8	58	66	16	94	63	26
Hephl1	0	0	0	0	0	0	0	0
Herc1	35	61	55	48	56	41	47	49
Herc2	99	76	82	52	86	74	79	96
Herc3	10	24	4	11	11	6	13	6
Herc4	34	27	20	42	22	20	33	24
Herc6	16	0	21	12	4	10	0	0
Herpud1	48	46	56	50	23	43	95	30
Herpud2	20	18	25	16	24	12	15	12
Hes1	11	26	25	24	24	19	21	63
Hes2	0	0	0	2	0	2	0	0
Hes3	0	0	0	0	0	0	0	0
Hes5	0	0	0	0	0	0	0	0
Hes6	38	211	67	36	164	20	50	198
Hes7	0	0	0	0	0	0	0	0
Hesx1	0	0	0	0	0	0	0	0
Hexa	55	36	54	44	45	43	45	37
Hexb	33	32	16	41	19	46	57	13
Hexdc	10	3	4	11	2	9	5	18
Hexim1	24	40	21	38	16	47	36	48
Hexim2	0	2	0	0	0	4	0	0
Hey1	0	4	0	2	15	0	0	10
Hey2	0	0	0	0	0	0	0	1
Heyl	0	4	2	0	0	2	0	0
Hfe	6	2	0	6	2	0	2	6
Hfe2	0	0	0	0	0	0	0	0
Hfm1	0	0	0	0	0	0	0	0
Hgd	0	0	0	0	0	0	2	0
Hgf	2	2	8	2	0	4	0	12
Hgfac	69	25	44	94	22	67	98	18
Hgh1	0	2	8	4	2	2	9	8
Hgs	42	35	50	36	64	25	44	35
Hgsnat	20	18	18	18	14	16	17	20
Hhat	2	2	0	0	2	0	2	0
Hhatl	0	0	0	0	0	0	0	0
Hhex	4	6	4	2	2	0	0	8
Hhip	0	0	6	0	3	0	0	2
Hhipl1	0	2	7	3	6	0	0	2
Hhipl2	0	0	0	2	2	0	2	0
Hhla1	0	0	0	0	0	0	0	0
Hiat1	34	30	31	22	31	40	30	30
Hiatl1	40	26	32	48	29	42	37	29
Hibadh	20	26	18	28	24	27	17	27
Hibch	10	8	4	14	4	8	2	7
Hic1	2	6	8	4	4	0	2	2
Hic2	4	0	0	8	0	0	0	0
Hid1	70	136	49	53	89	38	60	118
Hif1a	90	83	142	111	84	118	80	102
Hif1an	51	60	48	42	39	46	47	47
Hif3a	10	0	0	4	0	6	13	2
Higd1a	54	18	23	46	22	71	47	18
Higd1b	0	0	2	0	0	0	0	0
Higd1c	0	0	0	0	0	0	0	0
Higd2a	30	23	32	31	46	52	36	26
Hilpda	10	0	8	8	4	4	6	7
Hils1	0	0	0	0	0	0	0	0
Hinfp	0	5	6	4	4	10	6	9
Hint1	68	42	59	88	56	84	66	31
Hint2	2	8	10	2	14	8	8	6
Hint3	8	2	4	7	0	7	8	2
Hip1	4	4	16	4	12	6	4	13
Hip1r	42	30	28	43	48	34	22	27
Hipk1	51	74	64	95	78	78	97	87
Hipk2	0	18	10	10	14	4	10	26
Hipk3	27	39	35	41	55	32	35	54
Hipk4	0	4	0	0	0	0	0	0
Hira	16	43	30	23	19	26	8	46
Hirip3	4	14	12	10	22	8	12	23
Hist1h1a	0	0	0	0	0	0	0	0
Hist1h1b	0	0	0	0	0	0	0	6
Hist1h1c	17	22	20	28	11	48	64	5
Hist1h1d	0	0	0	0	0	2	1	0
Hist1h1e	0	0	0	4	0	0	0	0
Hist1h1t	0	0	0	0	0	0	0	0
Hist1h2aa	0	0	0	0	0	0	0	0
Hist1h2ab	0	0	0	0	0	0	2	0
Hist1h2ac	0	0	0	0	0	0	0	0
Hist1h2ad	0	0	0	0	0	0	0	0
Hist1h2ae	0	0	0	0	0	0	0	0
Hist1h2af	0	0	0	0	0	0	0	0
Hist1h2ag	0	0	0	0	0	0	0	0
Hist1h2ah	0	0	0	0	0	0	0	0
Hist1h2ai	2	2	0	0	0	0	0	0
Hist1h2ak	0	0	0	0	0	0	0	0
Hist1h2an	0	0	0	0	0	0	0	0
Hist1h2ao	0	0	0	0	0	0	0	0
Hist1h2ap	0	0	0	0	0	0	0	0
Hist1h2ba	0	0	0	0	0	0	0	0
Hist1h2bb	0	0	1	0	0	0	0	0
Hist1h2bc	36	35	20	25	26	23	33	15
Hist1h2be	0	0	0	4	0	0	0	0
Hist1h2bf	0	0	0	0	0	0	0	0
Hist1h2bg	0	1	0	0	0	0	1	0
Hist1h2bh	0	0	0	0	0	0	0	0
Hist1h2bj	0	0	0	0	2	0	0	0
Hist1h2bk	0	0	0	0	0	0	0	0
Hist1h2bl	0	0	0	0	2	0	0	0
Hist1h2bm	0	0	0	0	0	0	0	0
Hist1h2bn	1	0	0	0	0	0	4	0
Hist1h2bp	0	0	0	0	0	0	0	0
Hist1h2bq	0	0	0	0	0	0	0	0
Hist1h2br	0	0	0	0	0	0	0	0
Hist1h3a	0	0	0	0	0	0	0	0
Hist1h3b	0	0	0	0	2	0	0	0
Hist1h3c	0	0	0	0	0	0	0	0
Hist1h3d	4	0	0	0	0	0	0	0
Hist1h3e	0	0	0	0	0	0	0	0
Hist1h3f	0	0	0	0	0	0	0	0
Hist1h3g	0	0	0	0	0	0	0	4
Hist1h3h	0	0	0	0	0	0	0	0
Hist1h3i	2	0	0	0	0	0	0	0
Hist1h4a	0	0	0	0	0	0	0	0
Hist1h4b	0	0	0	0	2	0	0	0
Hist1h4c	0	0	0	2	0	0	0	0
Hist1h4d	0	0	0	0	0	2	0	0
Hist1h4f	0	0	0	0	0	0	0	0
Hist1h4h	2	0	0	0	0	0	0	0
Hist1h4i	1	5	0	2	0	4	0	6
Hist1h4j	0	0	0	0	0	0	0	0
Hist1h4k	0	0	0	0	0	0	2	0
Hist1h4m	0	0	0	0	0	0	0	0
Hist1h4n	0	0	0	0	0	0	2	0
Hist2h2aa1	0	0	0	0	0	0	0	0
Hist2h2aa2	0	0	0	0	0	0	0	0
Hist2h2ab	0	0	2	0	0	0	0	0
Hist2h2ac	0	0	0	0	0	0	0	0
Hist2h2bb	0	0	0	0	0	0	0	0
Hist2h2be	4	12	0	0	10	2	0	2
Hist2h3b	0	0	0	0	0	0	0	0
Hist2h3c1	0	0	0	0	0	0	0	0
Hist2h3c2	0	0	0	0	0	0	0	0
Hist2h4	0	0	0	0	0	0	0	0
Hist3h2a	4	8	8	6	7	4	2	2
Hist3h2ba	2	2	6	0	0	0	0	2
Hist3h2bb-ps	0	0	0	0	0	0	0	0
Hist4h4	0	0	0	0	0	0	0	0
Hivep1	34	46	40	25	34	44	28	34
Hivep2	22	34	17	20	26	12	19	33
Hivep3	0	2	1	0	7	0	0	4
Hjurp	4	4	3	1	5	1	0	5
Hk1	129	24	45	91	30	135	95	42
Hk1os	0	0	0	1	0	0	0	0
Hk2	141	82	208	161	98	164	134	56
Hk3	0	4	2	2	0	0	4	2
Hkdc1	4	0	2	7	0	2	6	0
Hlcs	4	6	12	0	13	2	8	11
Hlf	2	0	2	4	0	0	0	0
Hltf	27	22	22	14	30	14	17	22
Hlx	4	0	6	0	2	0	2	0
Hmbox1	5	8	14	8	12	6	6	8
Hmbs	4	11	12	14	6	13	7	20
Hmces	12	19	8	8	12	2	6	6
Hmcn1	2	8	4	12	4	10	0	6
Hmg20a	14	25	10	12	12	23	21	13
Hmg20b	12	38	32	14	39	20	31	41
Hmga1	2	0	0	0	2	0	4	2
Hmga1-rs1	0	0	0	0	0	0	0	0
Hmga2	2	18	4	6	10	0	2	6
Hmga2-ps1	0	0	4	0	0	0	0	2
Hmgb1	69	87	83	50	95	49	65	96
Hmgb1-rs17	0	0	0	0	0	0	0	0
Hmgb2	29	57	31	30	96	41	26	57
Hmgb3	10	46	10	16	26	6	8	29
Hmgb4	0	0	0	0	0	0	0	0
Hmgb4os	0	0	0	0	0	0	0	0
Hmgcl	24	13	14	23	10	35	38	8
Hmgcll1	2	0	4	2	10	0	0	4
Hmgcr	101	88	112	73	77	142	93	94
Hmgcs1	215	116	107	145	111	209	86	72
Hmgcs2	143	37	46	65	49	182	40	27
Hmgn1	28	91	52	18	90	16	34	89
Hmgn2	27	45	49	25	80	21	18	61
Hmgn3	0	0	0	2	2	0	0	2
Hmgn5	7	17	19	14	31	26	4	24
Hmgxb3	21	19	24	34	22	20	24	16
Hmgxb4	5	12	6	4	18	9	6	20
Hmha1	10	10	19	18	10	4	8	3
Hmmr	10	16	18	6	18	12	2	23
Hmox1	2	41	22	4	40	0	2	15
Hmox2	6	10	10	11	10	9	7	6
Hmx1	0	0	0	0	0	0	0	0
Hmx2	0	0	0	0	0	0	0	0
Hmx3	0	0	0	0	0	0	0	0
Hn1	73	110	94	115	133	74	116	102
Hn1l	39	20	22	28	39	24	15	66
Hnf1a	23	10	11	18	16	15	32	0
Hnf1b	14	12	24	21	22	18	26	31
Hnf4a	374	151	229	372	79	436	335	101
Hnf4aos	0	0	0	0	2	0	0	0
Hnf4g	18	8	2	14	0	16	16	2
Hnmt	0	0	0	2	0	0	0	0
Hnrnpa0	46	162	89	80	119	76	111	147
Hnrnpa1	6	8	8	1	6	3	2	0
Hnrnpa2b1	229	377	298	241	349	240	170	318
Hnrnpa3	27	19	18	14	38	35	22	40
Hnrnpab	116	334	204	128	294	127	133	297
Hnrnpc	81	127	86	82	183	68	80	133
Hnrnpd	28	66	35	42	52	32	50	66
Hnrnpdl	41	73	40	37	78	77	56	53
Hnrnpf	88	91	106	89	92	82	66	79
Hnrnph1	104	170	111	101	154	80	81	176
Hnrnph2	24	62	36	33	39	36	20	42
Hnrnph3	8	6	4	0	2	4	1	0
Hnrnpk	165	270	223	166	259	151	138	255
Hnrnpl	79	125	119	62	140	93	82	121
Hnrnpll	15	26	41	26	43	27	48	22
Hnrnpm	90	151	134	92	138	79	60	165
Hnrnpr	30	53	31	20	18	14	26	53
Hnrnpu	165	305	184	171	325	153	159	263
Hnrnpul1	47	93	71	64	93	54	73	67
Hnrnpul2	108	86	138	135	150	118	133	139
Hoga1	0	0	0	0	0	0	0	0
Homer1	11	2	8	6	8	11	10	10
Homer2	26	22	8	22	56	16	6	41
Homer3	2	14	10	2	9	0	6	6
Homez	4	10	2	4	7	2	2	7
Hook1	83	107	76	95	110	75	90	143
Hook2	31	43	56	33	39	43	39	46
Hook3	19	29	30	34	38	30	15	42
Hopx	12	54	14	16	43	10	21	40
Hormad1	0	0	0	0	0	0	0	0
Hormad2	0	0	0	0	0	0	0	0
Hotair	0	0	0	0	0	0	0	0
Hotairm1	0	2	2	0	0	0	0	0
Hottip	6	12	8	10	4	6	17	2
Hoxa1	0	0	0	0	0	0	0	0
Hoxa10	33	43	24	24	31	26	20	42
Hoxa11	2	3	9	2	8	1	6	9
Hoxa11os	43	39	29	62	18	47	32	33
Hoxa13	9	16	6	16	4	7	10	14
Hoxa2	2	0	2	8	4	3	0	4
Hoxa3	10	0	6	6	8	2	4	6
Hoxa4	0	2	0	0	2	2	0	6
Hoxa5	9	7	4	4	12	2	11	21
Hoxa6	0	0	2	9	0	2	3	2
Hoxa7	8	10	12	10	6	12	6	12
Hoxa9	32	77	54	14	45	18	48	33
Hoxaas2	0	2	0	0	0	2	0	0
Hoxaas3	0	0	6	0	0	5	5	0
Hoxb1	0	0	0	0	0	0	0	0
Hoxb13	69	121	6	104	97	121	147	144
Hoxb2	0	0	0	0	0	0	0	0
Hoxb3	0	2	0	0	2	0	0	0
Hoxb4	2	2	0	4	2	0	0	0
Hoxb5	0	0	0	2	0	0	0	0
Hoxb5os	0	0	0	0	0	0	0	0
Hoxb6	0	2	2	0	0	0	0	0
Hoxb7	4	0	0	0	4	0	0	0
Hoxb8	2	0	0	0	2	0	0	2
Hoxb9	30	28	8	26	26	23	29	29
Hoxc10	0	0	0	0	0	0	0	0
Hoxc11	0	0	0	0	0	0	0	0
Hoxc12	0	0	0	0	0	0	0	0
Hoxc13	0	0	0	0	0	0	0	0
Hoxc4	0	0	0	0	0	0	0	0
